Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
91,14,38858,2775.571,2.965,94.661,97.214,141.090,40.869,34.841,62.243,0.812,0.944,42.401,884.643,547.214,118.839,34.295,320155.500,97.071,0.012,-0.949
92,19,39031,2054.263,2.978,87.811,92.053,105.704,30.219,26.067,38.738,0.899,0.983,31.637,817.526,508.263,124.746,25.558,238563.053,89.789,-0.033,-1.009
93,14,36040,2574.286,2.750,94.226,95.786,161.874,39.621,33.757,45.210,0.721,0.940,42.944,954.571,492.786,125.907,33.876,287202.714,96.643,0.109,-1.130
94,19,38927,2048.789,2.970,88.581,91.737,107.287,30.678,26.069,58.893,0.879,0.952,32.025,846.000,539.895,125.867,25.855,233817.211,90.316,0.299,-0.983
95,16,38758,2422.375,2.957,90.691,95.812,121.475,35.748,30.437,47.456,0.866,0.959,37.006,811.188,517.375,120.032,30.008,280207.500,92.875,-0.139,-1.001
96,24,39460,1644.167,3.011,83.458,84.542,85.039,24.877,21.152,49.350,0.873,0.930,25.908,792.208,595.125,116.292,20.917,190223.792,85.042,0.031,-1.005
97,24,39781,1657.542,3.035,84.260,86.917,87.939,25.400,21.167,49.292,0.906,0.967,26.203,758.083,607.167,127.031,20.764,195574.917,85.875,-0.003,-1.252
98,24,39489,1645.375,3.013,81.149,84.708,84.714,24.709,21.027,37.956,0.921,0.978,25.645,772.458,543.500,128.697,20.560,193465.125,82.875,-0.031,-1.072
